id,wilayah_id,nama
11,1,ACEH
12,1,SUMATERA UTARA
13,1,SUMATERA BARAT
14,1,RIAU
15,1,JAMBI
16,1,SUMATERA SELATAN
17,1,BENGKULU
18,1,LAMPUNG
19,1,KEPULAUAN BANGKA BELITUNG
21,1,KEPULAUAN RIAU
31,2,DKI JAKARTA
32,2,JAWA BARAT
33,2,JAWA TENGAH
34,2,DI YOGYAKARTA
35,2,JAWA TIMUR
36,2,BANTEN
51,3,BALI
52,3,NUSA TENGGARA BARAT
53,4,NUSA TENGGARA TIMUR
61,3,KALIMANTAN BARAT
62,3,KALIMANTAN TENGAH
63,3,KALIMANTAN SELATAN
64,3,KALIMANTAN TIMUR
65,3,KALIMANTAN UTARA
71,4,SULAWESI UTARA
72,4,SULAWESI TENGAH
73,4,SULAWESI SELATAN
74,4,SULAWESI TENGGARA
75,4,GORONTALO
76,4,SULAWESI BARAT
81,4,MALUKU
82,4,MALUKU UTARA
91,4,PAPUA BARAT
94,4,PAPUA
95,4,PAPUA BARAT DAYA
96,4,PAPUA TENGAH
97,4,PAPUA SELATAN
